"sep=	"
S14_Timestamp_CAL	S14_RealTime_CAL	S14_GSR_CAL	S14_Quat_MPL_6DOF_W_CAL	S14_Quat_MPL_6DOF_X_CAL	S14_Quat_MPL_6DOF_Y_CAL	S14_Quat_MPL_6DOF_Z_CAL	S14_Gyro_MPU_MPL_X_CAL	S14_Gyro_MPU_MPL_Y_CAL	S14_Gyro_MPU_MPL_Z_CAL	S14_Accel_MPU_MPL_X_CAL	S14_Accel_MPU_MPL_Y_CAL	S14_Accel_MPU_MPL_Z_CAL	S14_Mag_MPU_MPL_X_CAL	S14_Mag_MPU_MPL_Y_CAL	S14_Mag_MPU_MPL_Z_CAL	S14_Date	
msecs	msecs	kOhms	no units	no units	no units	no units	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	uTesla	uTesla	uTesla	dd_MMM_yyyy_HH:MM:SS.FFF	
1620160727.81372	1486395601775.67	-40.0136046255727	0.819028198719025	0.557153463363647	-0.137013822793961	-1.31316483020782e-07	0.134979248046875	0.654541015625	-1.21647644042969	0.226593017578125	0.921417236328125	0.344894409179687	-21.1347503662109	-25.6576080322266	-31.1881866455078	6th_Feb_2017_10:40:01.775
1620160794.46411	1486395601842.32	-40.0136046255727	0.811945140361786	0.567059516906738	-0.138522416353226	-0.000329732894897461	0.134567260742188	0.959304809570313	-1.8878173828125	0.235870361328125	0.916656494140625	0.346237182617187	-21.1347503662109	-24.1576690673828	-33.2881011962891	6th_Feb_2017_10:40:01.842
1620160861.14502	1486395601909.0	-40.0136046255727	0.805160582065582	0.57638418674469	-0.139633193612099	-0.000266425311565399	-0.292999267578125	0.16552734375	-0.545028686523438	0.216461181640625	0.930084228515625	0.338546752929687	-23.5346527099609	-25.3576202392578	-32.0881500244141	6th_Feb_2017_10:40:01.909
1620160927.76489	1486395601975.62	-40.0136046255727	0.791262745857239	0.59386283159256	-0.145704969763756	-0.000507223419845104	-0.232528686523437	3.03361511230469	-1.09428405761719	0.229034423828125	0.933258056640625	0.340133666992187	-21.1347503662109	-24.7576446533203	-32.3881378173828	6th_Feb_2017_10:40:01.975
1620160994.41528	1486395602042.27	-40.0136046255727	0.786123633384705	0.600585579872131	-0.145967125892639	-0.000319801270961761	-0.537948608398438	1.93473815917969	-1.70462036132813	0.208892822265625	0.925445556640625	0.340011596679687	-22.3347015380859	-24.4576568603516	-32.9881134033203	6th_Feb_2017_10:40:02.042
1620161061.06567	1486395602108.92	-40.0136046255727	0.78129655122757	0.606273591518402	-0.148350358009338	-0.00046047754585743	0.8050537109375	-1.36091613769531	-0.300827026367187	0.232940673828125	0.919830322265625	0.352584838867187	-21.1347503662109	-24.1576690673828	-31.1881866455078	6th_Feb_2017_10:40:02.108
1620161127.74658	1486395602175.6	-40.0136046255727	0.770363926887512	0.61933958530426	-0.151518702507019	-0.00024222768843174	-0.050323486328125	0.0420074462890625	-1.03317260742188	0.214508056640625	0.913482666015625	0.346115112304687	-23.8346405029297	-24.7576446533203	-30.2882232666016	6th_Feb_2017_10:40:02.175
1620161194.36646	1486395602242.22	-40.0136046255727	0.766693592071533	0.623250246047974	-0.154076978564262	-0.000624143518507481	0.926071166992188	-3.55923461914062	0.797897338867188	0.230499267578125	0.925079345703125	0.346603393554687	-22.9346771240234	-25.3576202392578	-31.4881744384766	6th_Feb_2017_10:40:02.242
1620161261.01685	1486395602308.87	-40.0136046255727	0.763432621955872	0.626823782920837	-0.155762404203415	-0.000827540643513203	0.315963745117187	-0.141021728515625	-0.178695678710938	0.219512939453125	0.929840087890625	0.342208862304687	-20.5347747802734	-24.7576446533203	-31.7881622314453	6th_Feb_2017_10:40:02.308
1620161327.66724	1486395602375.52	-40.0136046255727	0.754194796085358	0.637004137039185	-0.159421786665916	-0.00080370157957077	0.681777954101563	2.17791748046875	-1.03314208984375	0.225250244140625	0.932403564453125	0.339889526367187	-24.4346160888672	-23.8576812744141	-32.9881134033203	6th_Feb_2017_10:40:02.375
1620161394.34814	1486395602442.2	-40.0136046255727	0.752350926399231	0.6392702460289	-0.159063547849655	-0.000673828646540642	0.253952026367187	1.56698608398438	-1.70448303222656	0.222198486328125	0.928497314453125	0.340988159179687	-22.3347015380859	-24.4576568603516	-29.9882354736328	6th_Feb_2017_10:40:02.442
1620161460.96802	1486395602508.82	-40.0136046255727	0.751009285449982	0.640808045864105	-0.159214809536934	-0.000860925763845444	0.742080688476563	-0.08111572265625	-0.7889404296875	0.218536376953125	0.924468994140625	0.348678588867187	-20.8347625732422	-23.8576812744141	-29.9882354736328	6th_Feb_2017_10:40:02.508
1620161527.61841	1486395602575.47	-40.0136046255727	0.74389660358429	0.648515462875366	-0.161379635334015	-0.00146315712481737	1.23036193847656	-0.26422119140625	-0.7889404296875	0.214385986328125	0.929473876953125	0.342575073242187	-23.5346527099609	-23.8576812744141	-30.5882110595703	6th_Feb_2017_10:40:02.575
1620161594.2688	1486395602642.12	-40.0136046255727	0.743133068084717	0.649367332458496	-0.161462411284447	-0.00223064608871937	0.74176025390625	-2.52284240722656	-0.178558349609375	0.205230712890625	0.929351806640625	0.337570190429687	-21.1347503662109	-24.1576690673828	-31.1881866455078	6th_Feb_2017_10:40:02.642
1620161660.94971	1486395602708.8	-40.0136046255727	0.742376923561096	0.649873852729797	-0.162888944149017	-0.00273756217211485	0.802459716796875	-1.30247497558594	1.04217529296875	0.222076416015625	0.934234619140625	0.337570190429687	-22.0347137451172	-24.7576446533203	-30.2882232666016	6th_Feb_2017_10:40:02.708
1620161727.56958	1486395602775.42	-40.0136046255727	0.737370789051056	0.655165553092957	-0.164416894316673	-0.00309025216847658	0.98565673828125	1.81040954589844	-1.88752746582031	0.221588134765625	0.922882080078125	0.342208862304687	-22.3347015380859	-23.8576812744141	-30.5882110595703	6th_Feb_2017_10:40:02.775
1620161794.21997	1486395602842.07	-40.0136046255727	0.73784875869751	0.654937982559204	-0.163176357746124	-0.0029869768768549	-0.11370849609375	0.772079467773438	-1.887451171875	0.213653564453125	0.926300048828125	0.335006713867187	-21.7347259521484	-23.8576812744141	-30.5882110595703	6th_Feb_2017_10:40:02.842
1620161860.87036	1486395602908.72	-40.0136046255727	0.7386434674263	0.654011428356171	-0.163278311491013	-0.00389006081968546	0.679901123046875	-2.21847534179687	-0.727798461914063	0.216949462890625	0.928131103515625	0.340255737304687	-21.1347503662109	-24.1576690673828	-28.7882843017578	6th_Feb_2017_10:40:02.908
